Attempts,Bullets_left_avg
6,5
24,6
3,4
13,5
23,8
21,7
8,6
16,5
20,5
12,6
2,5
29,5
5,5
7,5
4,5
34,6
25,5
10,4
18,9
15,6
31,5
14,6
32,6
1,5
27,6
9,5
35,6
19,4
11,5
26,5
36,7
22,6
17,5
30,6
28,7
33,5
