Attempts,Bullet_at_Death
6,6
6,4
4,6
8,8
7,9
9,5
4,5
8,9
2,7
1,5
3,5
10,4
5,7
9,5
7,11
10,6
7,4
5,5
11,8
6,5
32,8
7,12
1,5
5,5
4,6
2,6
3,8
